stop_id,stop_name,stop_lon,stop_lat
PR-M-29,Agua Santa esq. 21 De Mayo,-71.56954335599994,-33.04024002899996
PR-M-64,Agua Santa esq. 8 De Julio,-71.56104290899998,-33.04897557899994
PR-M-67,Agua Santa esq. Av. Manuel Antonio Matta,-71.55810951399997,-33.05535402499993
PR-M-45,Agua Santa esq. Borinquen,-71.56426729799995,-33.047645659999944
PR-M-31,Agua Santa esq. Borinquen,-71.56406475699998,-33.04773391799995
PR-M-68,Agua Santa esq. Borinquen,-71.56475010999998,-33.04773005299995
PR-M-71,Agua Santa esq. Calle 8,-71.56971809199996,-33.03501347799994
PR-M-75,Agua Santa esq. Calle Principal,-71.57098401399998,-33.038166409999974
PR-M-49,Agua Santa esq. Concepcion,-71.56326628499994,-33.04790090599994
PR-M-32,Agua Santa esq. Curico,-71.56530042399999,-33.04673969999993
PR-M-74,Agua Santa esq. Diego Portales,-71.56292575299994,-33.026136624999936
PR-M-36,Agua Santa esq. Guayacan,-71.56406224499995,-33.03075323899998
PR-M-51,Agua Santa esq. Guayacan,-71.56384972599994,-33.03050606299996
PR-M-46,Agua Santa esq. Iquique,-71.56931213099995,-33.04250256299997
PR-M-70,Agua Santa esq. Iquique,-71.56903986799995,-33.04261237099996
PR-M-35,Agua Santa esq. Juan Francisco Vergara,-71.56755358999999,-33.03371280499994
PR-M-34,Agua Santa esq. Los Canelos,-71.56904967499997,-33.04086191399995
PR-M-66,Agua Santa esq. Los Canelos,-71.55763107099995,-33.050764999999956
PR-M-69,Agua Santa esq. Magallanes,-71.56561430099998,-33.04632934099993
PR-M-30,Agua Santa esq. Manuel Antonio Matta,-71.55807226199994,-33.054819616999964
PR-M-28,Agua Santa esq. Manuel Antonio Matta,-71.55822497799994,-33.05537818799996
PR-M-27,Agua Santa esq. Navarrete,-71.55761808299997,-33.050985501999946
PR-M-63,Agua Santa esq. Pablo Neruda,-71.55804973499994,-33.05965362699993
PR-M-41,Agua Santa esq. San Enrique,-71.56588862499996,-33.032957875999955
PR-M-73,Agua Santa esq. San Jose Oriente,-71.56303387299994,-33.02840941699998
PR-M-50,Agua Santa esq. Sol Y Mar,-71.56785048299997,-33.033859287999974
PR-M-33,Agua Santa esq. Sonad,-71.56785046699997,-33.043774919999976
PR-M-72,Agua Santa esq. Tamaya,-71.56529259499996,-33.032570162999946
PR-M-62,Agua Santa esq. Uvm Campus Rodelillo,-71.55384804399995,-33.07130671599998
PR-M-26,Agua Santa esq. Uvm Campus Rodelillo,-71.55309508799996,-33.07190098799998
PR-M-40,Agua Santa esq. Villa Montes,-71.56062242199994,-33.04905796899993
PR-A-114,Alcalde Alejandro Peralta esq. 29 De Junio,-71.39370525799995,-33.05060720599994
PR-A-111,Alcalde Alejandro Peralta esq. Jazmin Del Cabo,-71.39501900899995,-33.06218018599998
PR-A-127,Alcalde Alejandro Peralta esq. Sandy Zanartu,-71.39535750699997,-33.06327694099997
PR-A-126,Alcalde Alejandro Peralta esq. Scottie,-71.39488657399994,-33.06031061899995
PR-A-110,Alcalde Alejandro Peralta esq. Troncos Viejos,-71.39503746899999,-33.05857723499997
PR-A-131,Alcalde Rodolfo Galleguillos esq. Via 1 Siete,-71.39009660499994,-33.06292619499993
PR-A-119,Alcalde Rodolfo Galleguillos Gatica esq. Pje Los Huemules De Niblinto,-71.39031106099998,-33.06425964999994
PR-Q-066,Alcalde Subercaseaux esq. Las Acacias,-71.43853499599999,-33.054744436999954
PR-V-016,Alemania esq. Alessandri,-71.60688503699998,-33.056831949999946
